Survived,Gender,Passenger Class,Age
died,female,1st,2
died,female,1st,25
died,female,1st,36
died,female,1st,50
died,female,1st,63
died,female,2nd,
died,female,2nd,18
died,female,2nd,22
died,female,2nd,24
died,female,2nd,26
died,female,2nd,27
died,female,2nd,29
died,female,2nd,30
died,female,2nd,38
died,female,2nd,44
died,female,2nd,57
died,female,2nd,60
died,female,3rd,
died,female,3rd,1
died,female,3rd,2
died,female,3rd,3
died,female,3rd,6
died,female,3rd,8
died,female,3rd,9
died,female,3rd,10
died,female,3rd,11
died,female,3rd,14
died,female,3rd,14.5
died,female,3rd,16
died,female,3rd,17
died,female,3rd,18
died,female,3rd,18.5
died,female,3rd,19
died,female,3rd,20
died,female,3rd,21
died,female,3rd,22
died,female,3rd,23
died,female,3rd,24
died,female,3rd,25
died,female,3rd,26
died,female,3rd,27
died,female,3rd,28
died,female,3rd,29
died,female,3rd,30
died,female,3rd,30.5
died,female,3rd,31
died,female,3rd,32
died,female,3rd,35
died,female,3rd,36
died,female,3rd,37
died,female,3rd,38
died,female,3rd,39
died,female,3rd,40
died,female,3rd,41
died,female,3rd,43
died,female,3rd,45
died,female,3rd,47
died,female,3rd,48
died,male,1st,
died,male,1st,17
died,male,1st,18
died,male,1st,19
died,male,1st,21
died,male,1st,22
died,male,1st,23
died,male,1st,24
died,male,1st,25
died,male,1st,27
died,male,1st,28
died,male,1st,28.5
died,male,1st,29
died,male,1st,30
died,male,1st,31
died,male,1st,32.5
died,male,1st,33
died,male,1st,36
died,male,1st,37
died,male,1st,38
died,male,1st,39
died,male,1st,40
died,male,1st,41
died,male,1st,42
died,male,1st,44
died,male,1st,45
died,male,1st,45.5
died,male,1st,46
died,male,1st,47
died,male,1st,48
died,male,1st,49
died,male,1st,50
died,male,1st,51
died,male,1st,52
died,male,1st,54
died,male,1st,55
died,male,1st,56
died,male,1st,57
died,male,1st,58
died,male,1st,60
died,male,1st,61
died,male,1st,62
died,male,1st,64
died,male,1st,65
died,male,1st,67
died,male,1st,70
died,male,1st,71
died,male,2nd,
died,male,2nd,14
died,male,2nd,16
died,male,2nd,17
died,male,2nd,18
died,male,2nd,18.5
died,male,2nd,19
died,male,2nd,21
died,male,2nd,22
died,male,2nd,23
died,male,2nd,24
died,male,2nd,25
died,male,2nd,26
died,male,2nd,27
died,male,2nd,28
died,male,2nd,29
died,male,2nd,30
died,male,2nd,31
died,male,2nd,32
died,male,2nd,32.5
died,male,2nd,33
died,male,2nd,34
died,male,2nd,35
died,male,2nd,36
died,male,2nd,36.5
died,male,2nd,37
died,male,2nd,38
died,male,2nd,39
died,male,2nd,40
died,male,2nd,41
died,male,2nd,42
died,male,2nd,43
died,male,2nd,44
died,male,2nd,46
died,male,2nd,47
died,male,2nd,48
died,male,2nd,49
died,male,2nd,50
died,male,2nd,51
died,male,2nd,52
died,male,2nd,54
died,male,2nd,57
died,male,2nd,59
died,male,2nd,60
died,male,2nd,61
died,male,2nd,62
died,male,2nd,63
died,male,2nd,66
died,male,2nd,70
died,male,3rd,
died,male,3rd,0.333299994
died,male,3rd,0.75
died,male,3rd,1
died,male,3rd,2
died,male,3rd,4
died,male,3rd,5
died,male,3rd,6
died,male,3rd,7
died,male,3rd,8
died,male,3rd,9
died,male,3rd,10
died,male,3rd,11
died,male,3rd,11.5
died,male,3rd,13
died,male,3rd,14
died,male,3rd,14.5
died,male,3rd,15
died,male,3rd,16
died,male,3rd,17
died,male,3rd,18
died,male,3rd,18.5
died,male,3rd,19
died,male,3rd,20
died,male,3rd,20.5
died,male,3rd,21
died,male,3rd,22
died,male,3rd,22.5
died,male,3rd,23
died,male,3rd,23.5
died,male,3rd,24
died,male,3rd,24.5
died,male,3rd,25
died,male,3rd,26
died,male,3rd,26.5
died,male,3rd,27
died,male,3rd,28
died,male,3rd,28.5
died,male,3rd,29
died,male,3rd,30
died,male,3rd,30.5
died,male,3rd,31
died,male,3rd,32
died,male,3rd,32.5
died,male,3rd,33
died,male,3rd,34
died,male,3rd,34.5
died,male,3rd,35
died,male,3rd,36
died,male,3rd,37
died,male,3rd,38
died,male,3rd,38.5
died,male,3rd,39
died,male,3rd,40
died,male,3rd,40.5
died,male,3rd,41
died,male,3rd,42
died,male,3rd,43
died,male,3rd,44
died,male,3rd,45
died,male,3rd,45.5
died,male,3rd,47
died,male,3rd,48
died,male,3rd,49
died,male,3rd,50
died,male,3rd,51
died,male,3rd,55.5
died,male,3rd,59
died,male,3rd,60.5
died,male,3rd,61
died,male,3rd,65
died,male,3rd,70.5
died,male,3rd,74
survived,female,1st,
survived,female,1st,14
survived,female,1st,15
survived,female,1st,16
survived,female,1st,17
survived,female,1st,18
survived,female,1st,19
survived,female,1st,21
survived,female,1st,22
survived,female,1st,23
survived,female,1st,24
survived,female,1st,25
survived,female,1st,26
survived,female,1st,27
survived,female,1st,28
survived,female,1st,29
survived,female,1st,30
survived,female,1st,31
survived,female,1st,32
survived,female,1st,33
survived,female,1st,35
survived,female,1st,36
survived,female,1st,37
survived,female,1st,38
survived,female,1st,39
survived,female,1st,40
survived,female,1st,41
survived,female,1st,42
survived,female,1st,43
survived,female,1st,44
survived,female,1st,45
survived,female,1st,47
survived,female,1st,48
survived,female,1st,49
survived,female,1st,50
survived,female,1st,51
survived,female,1st,52
survived,female,1st,53
survived,female,1st,54
survived,female,1st,55
survived,female,1st,56
survived,female,1st,58
survived,female,1st,59
survived,female,1st,60
survived,female,1st,62
survived,female,1st,63
survived,female,1st,64
survived,female,1st,76
survived,female,2nd,
survived,female,2nd,0.916700006
survived,female,2nd,1
survived,female,2nd,2
survived,female,2nd,3
survived,female,2nd,4
survived,female,2nd,5
survived,female,2nd,6
survived,female,2nd,7
survived,female,2nd,8
survived,female,2nd,12
survived,female,2nd,13
survived,female,2nd,14
survived,female,2nd,15
survived,female,2nd,17
survived,female,2nd,18
survived,female,2nd,19
survived,female,2nd,20
survived,female,2nd,21
survived,female,2nd,22
survived,female,2nd,23
survived,female,2nd,24
survived,female,2nd,25
survived,female,2nd,26
survived,female,2nd,27
survived,female,2nd,28
survived,female,2nd,29
survived,female,2nd,30
survived,female,2nd,31
survived,female,2nd,32
survived,female,2nd,32.5
survived,female,2nd,33
survived,female,2nd,34
survived,female,2nd,35
survived,female,2nd,36
survived,female,2nd,40
survived,female,2nd,41
survived,female,2nd,42
survived,female,2nd,45
survived,female,2nd,48
survived,female,2nd,50
survived,female,2nd,54
survived,female,2nd,55
survived,female,3rd,
survived,female,3rd,0.166700006
survived,female,3rd,0.75
survived,female,3rd,1
survived,female,3rd,2
survived,female,3rd,4
survived,female,3rd,5
survived,female,3rd,9
survived,female,3rd,13
survived,female,3rd,14
survived,female,3rd,15
survived,female,3rd,16
survived,female,3rd,17
survived,female,3rd,18
survived,female,3rd,19
survived,female,3rd,21
survived,female,3rd,22
survived,female,3rd,23
survived,female,3rd,24
survived,female,3rd,26
survived,female,3rd,27
survived,female,3rd,29
survived,female,3rd,30
survived,female,3rd,31
survived,female,3rd,33
survived,female,3rd,35
survived,female,3rd,36
survived,female,3rd,38
survived,female,3rd,45
survived,female,3rd,47
survived,female,3rd,63
survived,male,1st,
survived,male,1st,0.916700006
survived,male,1st,4
survived,male,1st,6
survived,male,1st,11
survived,male,1st,13
survived,male,1st,17
survived,male,1st,21
survived,male,1st,23
survived,male,1st,24
survived,male,1st,25
survived,male,1st,26
survived,male,1st,27
survived,male,1st,28
survived,male,1st,30
survived,male,1st,31
survived,male,1st,32
survived,male,1st,34
survived,male,1st,35
survived,male,1st,36
survived,male,1st,37
survived,male,1st,38
survived,male,1st,40
survived,male,1st,42
survived,male,1st,43
survived,male,1st,45
survived,male,1st,48
survived,male,1st,49
survived,male,1st,50
survived,male,1st,51
survived,male,1st,52
survived,male,1st,53
survived,male,1st,54
survived,male,1st,56
survived,male,1st,60
survived,male,1st,80
survived,male,2nd,
survived,male,2nd,0.666700006
survived,male,2nd,0.833299994
survived,male,2nd,1
survived,male,2nd,2
survived,male,2nd,3
survived,male,2nd,8
survived,male,2nd,19
survived,male,2nd,20
survived,male,2nd,22
survived,male,2nd,24
survived,male,2nd,26
survived,male,2nd,29
survived,male,2nd,30
survived,male,2nd,31
survived,male,2nd,32
survived,male,2nd,34
survived,male,2nd,42
survived,male,2nd,62
survived,male,3rd,
survived,male,3rd,0.416700006
survived,male,3rd,0.833299994
survived,male,3rd,1
survived,male,3rd,3
survived,male,3rd,4
survived,male,3rd,6
survived,male,3rd,7
survived,male,3rd,9
survived,male,3rd,12
survived,male,3rd,14
survived,male,3rd,16
survived,male,3rd,18
survived,male,3rd,19
survived,male,3rd,20
survived,male,3rd,21
survived,male,3rd,22
survived,male,3rd,23
survived,male,3rd,24
survived,male,3rd,25
survived,male,3rd,26
survived,male,3rd,27
survived,male,3rd,29
survived,male,3rd,30
survived,male,3rd,31
survived,male,3rd,32
survived,male,3rd,36.5
survived,male,3rd,39
survived,male,3rd,44
survived,male,3rd,45
